experiment_id,event_id,priority,event_type,north_m,east_m,is_high_priority,creation_time,activation_time,expiration_time,radius_m,first_detect_time,detected_by_uav,investigation_start_time,investigation_complete_time,investigated_by_uav,final_state
stochastic/N_6_seed_44,28,2,0,875.38,2147.2,0,1781493841.3,1781493841.3,1781493961.3,20.0,,,,,,expired
stochastic/N_6_seed_44,29,1,0,2297.52,2599.72,0,1781493851.07,1781493851.07,1781493971.07,20.0,1781493923.255,1.0,,,,expired
stochastic/N_6_seed_44,30,1,0,1367.61,-18.02,0,1781493865.68,1781493865.68,1781493985.68,20.0,1781493952.888,3.0,,,,expired
stochastic/N_6_seed_44,31,1,1,410.74,606.93,0,1781493914.55,1781493914.55,1781494034.55,20.0,,,,,,expired
stochastic/N_6_seed_44,32,1,1,341.74,638.66,0,1781493921.73,1781493921.73,1781494041.73,20.0,,,,,,expired
stochastic/N_6_seed_44,33,2,1,1919.39,1389.88,0,1781493960.22,1781493960.22,1781494080.22,20.0,,,,,,expired
stochastic/N_6_seed_44,34,1,0,1593.83,-1239.25,0,1781493982.27,1781493982.27,1781494102.27,20.0,1781493983.633,4.0,,,,expired
stochastic/N_6_seed_44,35,5,0,2219.5,-2274.59,1,1781494026.81,1781494026.81,1781494146.81,20.0,,,,,,expired
stochastic/N_6_seed_44,36,4,1,801.29,906.43,1,1781494033.86,1781494033.86,1781494153.86,20.0,,,,,,expired
stochastic/N_6_seed_44,37,3,1,2340.35,2255.7,1,1781494040.75,1781494040.75,1781494160.75,20.0,1781494084.208,1.0,1781494084.352,1781494114.431,1.0,investigated
stochastic/N_6_seed_44,38,2,0,2541.2,-806.98,0,1781494056.19,1781494056.19,1781494176.19,20.0,,,,,,expired
stochastic/N_6_seed_44,39,5,0,2044.29,215.37,1,1781494150.52,1781494150.52,1781494270.52,20.0,1781494158.18,3.0,1781494158.316,1781494188.827,3.0,investigated
stochastic/N_6_seed_44,40,1,0,763.2,465.64,0,1781494208.49,1781494208.49,1781494328.49,20.0,,,,,,unresolved_active
stochastic/N_6_seed_45,1,5,0,1721.7,-976.42,1,1781494299.62,1781494299.62,1781494419.62,20.0,,,,,,expired
stochastic/N_6_seed_45,2,1,0,2477.85,1211.26,0,1781494299.62,1781494299.62,1781494419.62,20.0,,,,,,expired
stochastic/N_6_seed_45,3,1,0,812.08,2425.97,0,1781494299.62,1781494299.62,1781494419.62,20.0,,,,,,expired
stochastic/N_6_seed_45,4,1,0,865.6,989.74,0,1781494299.62,1781494299.62,1781494419.62,20.0,1781494386.775,3.0,,,,expired
stochastic/N_6_seed_45,5,5,1,1812.72,-1371.64,1,1781494299.62,1781494299.62,1781494419.62,20.0,,,,,,expired
stochastic/N_6_seed_45,6,1,1,1851.3,1229.87,0,1781494299.62,1781494299.62,1781494419.62,20.0,,,,,,expired
stochastic/N_6_seed_45,7,2,1,2390.5,2044.72,0,1781494299.62,1781494299.62,1781494419.62,20.0,,,,,,expired
stochastic/N_6_seed_45,8,1,0,1227.87,2504.06,0,1781494299.62,1781494299.62,1781494419.62,20.0,,,,,,expired
stochastic/N_6_seed_45,9,2,0,1398.66,1890.44,0,1781494299.62,1781494299.62,1781494419.62,20.0,,,,,,expired
stochastic/N_6_seed_45,10,1,1,334.18,-946.13,0,1781494299.62,1781494299.62,1781494419.62,20.0,,,,,,expired
stochastic/N_6_seed_45,11,1,0,400.54,814.95,0,1781494299.62,1781494299.62,1781494419.62,20.0,1781494361.926,3.0,,,,expired
stochastic/N_6_seed_45,12,3,0,1610.9,2710.58,1,1781494299.62,1781494299.62,1781494419.62,20.0,,,,,,expired
stochastic/N_6_seed_45,13,2,0,439.3,1749.29,0,1781494300.4,1781494300.4,1781494420.4,20.0,,,,,,expired
stochastic/N_6_seed_45,14,2,1,892.22,-466.06,0,1781494302.58,1781494302.58,1781494422.58,20.0,1781494400.875,5.0,,,,expired
stochastic/N_6_seed_45,15,3,0,773.85,-2248.22,1,1781494311.0,1781494311.0,1781494431.0,20.0,,,,,,expired
stochastic/N_6_seed_45,16,2,0,2058.3,1871.64,0,1781494323.3,1781494323.3,1781494443.3,20.0,,,,,,expired
stochastic/N_6_seed_45,17,2,1,1727.7,2246.7,0,1781494323.85,1781494323.85,1781494443.85,20.0,,,,,,expired
stochastic/N_6_seed_45,18,5,1,151.4,2575.15,1,1781494341.95,1781494341.95,1781494461.95,20.0,,,,,,expired
stochastic/N_6_seed_45,19,2,1,2077.71,-1119.13,0,1781494357.85,1781494357.85,1781494477.85,20.0,,,,,,expired
stochastic/N_6_seed_45,20,2,1,2317.07,-896.29,0,1781494362.55,1781494362.55,1781494482.55,20.0,,,,,,expired
stochastic/N_6_seed_45,21,2,0,2464.58,-1261.61,0,1781494380.51,1781494380.51,1781494500.51,20.0,,,,,,expired
stochastic/N_6_seed_45,22,4,1,2694.96,-460.73,1,1781494386.15,1781494386.15,1781494506.15,20.0,,,,,,expired
stochastic/N_6_seed_45,23,2,1,474.18,-980.16,0,1781494398.31,1781494398.31,1781494518.31,20.0,,,,,,expired
stochastic/N_6_seed_45,24,1,1,556.7,1024.88,0,1781494410.2,1781494410.2,1781494530.2,20.0,1781494410.93,3.0,,,,expired
stochastic/N_6_seed_45,25,1,1,2602.8,-7.9,0,1781494412.74,1781494412.74,1781494532.74,20.0,,,,,,expired
stochastic/N_6_seed_45,26,2,1,1435.09,-22.77,0,1781494442.56,1781494442.56,1781494562.56,20.0,1781494485.473,4.0,,,,expired
stochastic/N_6_seed_45,27,2,0,2443.15,545.86,0,1781494456.73,1781494456.73,1781494576.73,20.0,1781494538.54,3.0,,,,expired
stochastic/N_6_seed_45,28,3,1,852.39,1347.86,1,1781494479.55,1781494479.55,1781494599.55,20.0,1781494489.832,1.0,1781494489.964,1781494519.987,1.0,investigated
stochastic/N_6_seed_45,29,3,1,2305.32,-2030.8,1,1781494510.36,1781494510.36,1781494630.36,20.0,,,,,,expired
stochastic/N_6_seed_45,30,2,0,683.53,735.3,0,1781494536.7,1781494536.7,1781494656.7,20.0,,,,,,expired
stochastic/N_6_seed_45,31,2,1,1280.61,1263.94,0,1781494562.64,1781494562.64,1781494682.64,20.0,,,,,,expired
stochastic/N_6_seed_45,32,1,1,686.78,969.9,0,1781494631.63,1781494631.63,1781494751.63,20.0,,,,,,expired
stochastic/N_6_seed_45,33,1,0,427.97,-1086.68,0,1781494642.16,1781494642.16,1781494762.16,20.0,,,,,,expired
stochastic/N_6_seed_45,34,1,0,954.22,-1685.22,0,1781494642.63,1781494642.63,1781494762.63,20.0,1781494642.115,5.0,,,,expired
